Learning Standard,Category,Sub-Category,State Standard,,,
L.1.4.a,Language,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.,,,
L.1.4.b,Language,Vocabulary Acquisition and Use,Use frequently occurring affixes as a clue to the meaning of a word.,,,
L.1.4.c,Language,Vocabulary Acquisition and Use,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).",,,
L.1.5,Language,Vocabulary Acquisition and Use,"With guidance and support from adults, demonstrate understanding of figurative language, word relationships and nuances in word meanings.",,,
L.1.5.a,Language,Vocabulary Acquisition and Use,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.",,,
L.1.5.b,Language,Vocabulary Acquisition and Use,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes).",,,
L.1.5.c,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., note places at home that are cozy).",,,
L.1.5.d,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.",,,
L.1.6,Language,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because).",,,
L.2.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.2.1.a,Language,Conventions of Standard English,"Use collective nouns (e.g., group).",,,
L.2.1.b,Language,Conventions of Standard English,"Form and use frequently occurring irregular plural nouns (e.g., feet, children, teeth, mice, fish).",,,
L.2.1.c,Language,Conventions of Standard English,"Use reflexive pronouns (e.g., myself, ourselves).",,,
L.2.1.d,Language,Conventions of Standard English,"Form and use the past tense of frequently occurring irregular verbs (e.g., sat, hid, told).",,,
L.2.1.e,Language,Conventions of Standard English,"Use adjectives and adverbs, and choose between them depending on what is to be modified.",,,
L.2.1.f,Language,Conventions of Standard English,"Produce, expand, and rearrange complete simple and compound sentences (e.g., The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy).",,,
L.2.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.2.2.a,Language,Conventions of Standard English,"Capitalize holidays, product names, and geographic names.",,,
L.2.2.b,Language,Conventions of Standard English,Use commas in greetings and closings of letters.,,,
L.2.2.c,Language,Conventions of Standard English,Use an apostrophe to form contractions and frequently occurring possessives.,,,
L.2.2.d,Language,Conventions of Standard English,"Generalize learned spelling patterns when writing words (e.g., cage → badge; boy → boil).",,,
L.2.2.e,Language,Conventions of Standard English,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",,,
L.2.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,
L.2.3.a,Language,Knowledge of Language,Compare formal and informal uses of English.,,,
L.2.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies.",,,
L.2.4.a,Language,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.,,,
L.2.4.b,Language,Vocabulary Acquisition and Use,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell).",,,
L.2.4.c,Language,Vocabulary Acquisition and Use,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional).",,,
L.2.4.d,Language,Vocabulary Acquisition and Use,"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark).",,,
L.2.4.e,Language,Vocabulary Acquisition and Use,"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases.",,,
L.2.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",,,
L.2.5.a,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., describe foods that are spicy or juicy).",,,
L.2.5.b,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among closely related verbs (e.g., toss, throw, hurl) and closely related adjectives (e.g., thin, slender, skinny, scrawny).",,,
L.2.6,Language,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g., When other kids are happy that makes me happy).",,,
L.3.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.3.1.a,Language,Conventions of Standard English,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",,,
L.3.1.b,Language,Conventions of Standard English,Form and use regular and irregular plural nouns.,,,
L.3.1.c,Language,Conventions of Standard English,"Use abstract nouns (e.g., childhood).",,,
L.3.1.d,Language,Conventions of Standard English,Form and use regular and irregular verbs.,,,
L.3.1.e,Language,Conventions of Standard English,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses.",,,
L.3.1.f,Language,Conventions of Standard English,Ensure subject-verb and pronoun-antecedent agreement.*,,,
L.3.1.g,Language,Conventions of Standard English,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.",,,
L.3.1.h,Language,Conventions of Standard English,Use coordinating and subordinating conjunctions.,,,
L.3.1.i,Language,Conventions of Standard English,"Produce simple, compound, and complex sentences.",,,
L.3.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.3.2.a,Language,Conventions of Standard English,Capitalize appropriate words in titles.,,,
L.3.2.b,Language,Conventions of Standard English,Use commas in addresses.,,,
L.3.2.c,Language,Conventions of Standard English,Use commas and quotation marks in dialogue.,,,
L.3.2.d,Language,Conventions of Standard English,Form and use possessives.,,,
L.3.2.e,Language,Conventions of Standard English,"Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness).",,,
L.3.2.f,Language,Conventions of Standard English,"Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words.",,,
L.3.2.g,Language,Conventions of Standard English,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",,,
L.3.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,
L.3.3.a,Language,Knowledge of Language,Choose words and phrases for effect.*,,,
L.3.3.b,Language,Knowledge of Language,Recognize and observe differences between the conventions of spoken and written standard English.,,,
L.3.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies.",,,
L.3.4.a,Language,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.,,,
L.3.4.b,Language,Vocabulary Acquisition and Use,"Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat).",,,
L.3.4.c,Language,Vocabulary Acquisition and Use,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion).",,,
L.3.4.d,Language,Vocabulary Acquisition and Use,"Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases.",,,
L.3.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",,,
L.3.5.a,Language,Vocabulary Acquisition and Use,"Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., take steps).",,,
L.3.5.b,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful).",,,
L.3.5.c,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered).",,,
L.3.6,Language,Vocabulary Acquisition and Use,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).",,,
L.4.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.4.1.a,Language,Conventions of Standard English,"Use relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why).",,,
L.4.1.b,Language,Conventions of Standard English,"Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses.",,,
L.4.1.c,Language,Conventions of Standard English,"Use modal auxiliaries (e.g., can, may, must) to convey various conditions.",,,
L.4.1.d,Language,Conventions of Standard English,"Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag).",,,
L.4.1.e,Language,Conventions of Standard English,Form and use prepositional phrases.,,,
L.4.1.f,Language,Conventions of Standard English,"Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.*",,,
L.4.1.g,Language,Conventions of Standard English,"Correctly use frequently confused words (e.g., to, too, two; there, their).*",,,
L.4.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.4.2.a,Language,Conventions of Standard English,Use correct capitalization.,,,
L.4.2.b,Language,Conventions of Standard English,Use commas and quotation marks to mark direct speech and quotations from a text.,,,
L.4.2.c,Language,Conventions of Standard English,Use a comma before a coordinating conjunction in a compound sentence.,,,
L.4.2.d,Language,Conventions of Standard English,"Spell grade-appropriate words correctly, consulting references as needed.",,,
L.4.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,
L.4.3.a,Language,Knowledge of Language,Choose words and phrases to convey ideas precisely.*,,,
L.4.3.b,Language,Knowledge of Language,Choose punctuation for effect.*,,,
L.4.3.c,Language,Knowledge of Language,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion).",,,
L.4.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies.",,,
L.4.4.a,Language,Vocabulary Acquisition and Use,"Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase.",,,
L.4.4.b,Language,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph).",,,
L.4.4.c,Language,Vocabulary Acquisition and Use,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases.",,,
L.4.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,
L.4.5.a,Language,Vocabulary Acquisition and Use,"Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context.",,,
L.4.5.b,Language,Vocabulary Acquisition and Use,"Recognize and explain the meaning of common idioms, adages, and proverbs.",,,
L.4.5.c,Language,Vocabulary Acquisition and Use,Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms).,,,
L.4.6,Language,Vocabulary Acquisition and Use,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered) and that are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation).",,,
L.5.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.5.1.a,Language Standards,Conventions of Standard English,"Explain the function of conjunctions, prepositions, and interjections in general and their function in particular sentences.",,,
L.5.1.b,Language Standards,Conventions of Standard English,"Form and use the perfect (e.g., I had walked; I have walked; I will have walked) verb tenses.",,,
L.5.1.c,Language Standards,Conventions of Standard English,"Use verb tense to convey various times, sequences, states, and conditions.",,,
L.5.1.d,Language Standards,Conventions of Standard English,Recognize and correct inappropriate shifts in verb tense.,,,
L.5.1.e,Language Standards,Conventions of Standard English,"Use correlative conjunctions (e.g., either/or, neither/nor).",,,
L.5.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.5.2.a,Language Standards,Conventions of Standard English,Use punctuation to separate items in a series.,,,
L.5.2.b,Language Standards,Conventions of Standard English,Use a comma to separate an introductory element from the rest of the sentence.,,,
L.5.2.c,Language Standards,Conventions of Standard English,"Use a comma to set off the words yes and no (e.g., Yes, thank you), to set off a tag question from the rest of the sentence (e.g., It’s true, isn’t it?), and to indicate direct address (e.g., Is that you, Steve?).",,,
L.5.2.d,Language Standards,Conventions of Standard English,"Use underlining, quotation marks, or italics to indicate titles of works.",,,
L.5.2.e,Language Standards,Conventions of Standard English,"Spell grade-appropriate words correctly, consulting references as needed.",,,
L.5.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,
L.5.3.a,Language,Knowledge of Language,"Expand, combine, and reduce sentences for meaning, reader/listener interest, and style.",,,
L.5.3.b,Language,Knowledge of Language,"Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems.",,,
L.5.4,Language,Vocabulary acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, choosing flexibly from a range of strategies.",,,
L.5.4.a,Language,Vocabulary acquisition and Use,"Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase.",,,
L.5.4.b,Language,Vocabulary acquisition and Use,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis).",,,
L.5.4.c,Language,Vocabulary acquisition and Use,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases.",,,
L.5.5,Language,Vocabulary acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,
L.5.5.a,Language,Vocabulary acquisition and Use,"Interpret figurative language, including similes and metaphors, in context.",,,
L.5.5.b,Language,Vocabulary acquisition and Use,"Recognize and explain the meaning of common idioms, adages, and proverbs.",,,
L.5.5.c,Language,Vocabulary acquisition and Use,"Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words.",,,
L.5.6,Language,Vocabulary acquisition and Use,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition).",,,
L.6.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.6.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.6.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,
L.6.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 6 reading and content, choosing flexibly from a range of strategies.",,,
L.6.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,
L.6.6,Language,Vocabulary Acquisition and Use,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.,,,
L.7.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.7.1.a,Language,Conventions of Standard English,Explain the function of phrases and clauses in general and their function in specific sentences.,,,
L.7.1.b,Language,Conventions of Standard English,"Choose among simple, compound, complex, and compound-complex sentences to signal differing relationships among ideas.",,,
L.7.1.c,Language,Conventions of Standard English,"Place phrases and clauses within a sentence, recognizing and correcting misplaced and dangling modifiers.*",,,
L.7.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.7.2.a,Language,Conventions of Standard English,"Use a comma to separate coordinate adjectives (e.g., It was a fascinating, enjoyable movie but not He wore an old[,] green shirt).",,,
L.7.2.b,Language,Conventions of Standard English,Spell correctly.,,,
L.7.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,
L.7.3.a,Language,Knowledge of Language,"Choose language that expresses ideas precisely and concisely, recognizing and eliminating wordiness and redundancy.*",,,
L.7.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 7 reading and content, choosing flexibly from a range of strategies.",,,
L.7.4.a,Language,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase.",,,
L.7.4.b,Language,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., belligerent, bellicose, rebel).",,,
L.7.4.c,Language,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech.",,,
L.7.4.d,Language,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",,,
L.7.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,
L.7.5.a,Language,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g., literary, biblical, and mythological allusions) in context.",,,
L.7.5.b,Language,Vocabulary Acquisition and Use,"Use the relationship between particular words (e.g., synonym/antonym, analogy) to better understand each of the words.",,,
L.7.5.c,Language,Vocabulary Acquisition and Use,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., refined, respectful, polite, diplomatic, condescending).",,,
L.7.6,Language,Vocabulary Acquisition and Use,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.,,,
L.8.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.8.1.a,Language,Conventions of Standard English,"Explain the function of verbals (gerunds, participles, infinitives) in general and their function in particular sentences.",,,
L.8.1.b,Language,Conventions of Standard English,Form and use verbs in the active and passive voice.,,,
L.8.1.c,Language,Conventions of Standard English,"Form and use verbs in the indicative, imperative, interrogative, conditional, and subjunctive mood.",,,
L.8.1.d,Language,Conventions of Standard English,Recognize and correct inappropriate shifts in verb voice and mood.*,,,
L.8.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.8.2.a,Language,Conventions of Standard English,"Use punctuation (comma, ellipsis, dash) to indicate a pause or break.",,,
L.8.2.b,Language,Conventions of Standard English,Use an ellipsis to indicate an omission.,,,
L.8.2.c,Language,Conventions of Standard English,Spell correctly.,,,
L.8.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",,,
L.8.3.a,Language,Knowledge of Language,"Use verbs in the active and passive voice and in the conditional and subjunctive mood to achieve particular effects (e.g., emphasizing the actor or the action; expressing uncertainty or describing a state contrary to fact).",,,
L.8.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words or phrases based on grade 8 reading and content, choosing flexibly from a range of strategies.",,,
L.8.4.a,Language,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase.",,,
L.8.4.b,Language,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., precede, recede, secede).",,,
L.8.4.c,Language,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech.",,,
L.8.4.d,Language,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",,,
L.8.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,
L.8.5.a,Language,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g. verbal irony, puns) in context.",,,
L.8.5.b,Language,Vocabulary Acquisition and Use,Use the relationship between particular words to better understand each of the words.,,,
L.8.5.c,Language,Vocabulary Acquisition and Use,"Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., bullheaded, willful, firm, persistent, resolute).",,,
L.8.6,Language,Vocabulary Acquisition and Use,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.,,,
L.9-10.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.9-10.1.a,Language,Conventions of Standard English,Use parallel structure.*,,,
L.9-10.1.b,Language,Conventions of Standard English,"Use various types of phrases (noun, verb, adjectival, adverbial, participial, prepositional, absolute) and clauses (independent, dependent; noun, relative, adverbial) to convey specific meanings and add variety and interest to writing or presentations.",,,
L.9-10.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.9-10.2.a,Language,Conventions of Standard English,Use a semicolon (and perhaps a conjunctive adverb) to link two or more closely related independent clauses.,,,
L.9-10.2.b,Language,Conventions of Standard English,Use a colon to introduce a list or quotation.,,,
L.9-10.2.c,Language,Conventions of Standard English,Spell correctly.,,,
L.9-10.3,Language,Knowledge of Language,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,
L.9-10.3.a,Language,Knowledge of Language,"Write and edit work so that it conforms to the guidelines in a style manual (e.g., MLA Handbook, Turabian’s Manual for Writers) appropriate for the discipline and writing type.",,,
L.9-10.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 9–10 reading and content, choosing flexibly from a range of strategies.",,,
L.9-10.4.a,Language,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase.",,,
L.9-10.4.b,Language,Vocabulary Acquisition and Use,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., analyze, analysis, analytical; advocate, advocacy).",,,
L.9-10.4.c,Language,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, or its etymology.",,,
L.9-10.4.d,Language,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",,,
L.9-10.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,
L.9-10.5.a,Language,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g., euphemism, oxymoron) in context and analyze their role in the text.",,,
L.9-10.5.b,Language,Vocabulary Acquisition and Use,Analyze nuances in the meaning of words with similar denotations.,,,
L.9-10.6,Language,Vocabulary Acquisition and Use,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",,,
L.11-12.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.11-12.1.a,Language,Conventions of Standard English,"Apply the understanding that usage is a matter of convention, can change over time, and is sometimes contested.",,,
L.11-12.1.b,Language,Conventions of Standard English,"Resolve issues of complex or contested usage, consulting references (e.g., Merriam-Webster’s Dictionary of English Usage, Garner’s Modern American Usage) as needed.",,,
L.11-12.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.11-12.2.a,Language,Conventions of Standard English,Observe hyphenation conventions.,,,
L.11-12.2.b,Language,Conventions of Standard English,Spell correctly.,,,
L.11-12.3,Language,Knowledge of Language,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,
L.11-12.3.a,Language,Knowledge of Language,"Vary syntax for effect, consulting references (e.g., Tufte’s Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",,,
L.11-12.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11–12 reading and content, choosing flexibly from a range of strategies.",,,
L.11-12.4.a,Language,Vocabulary Acquisition and Use,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase.",,,
L.11-12.4.b,Language,Vocabulary Acquisition and Use,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable).",,,
L.11-12.4.c,Language,Vocabulary Acquisition and Use,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.",,,
L.11-12.4.d,Language,Vocabulary Acquisition and Use,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",,,
L.11-12.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,
L.11-12.5.a,Language,Vocabulary Acquisition and Use,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.",,,
L.11-12.5.b,Language,Vocabulary Acquisition and Use,Analyze nuances in the meaning of words with similar denotations.,,,
L.11-12.6,Language,Vocabulary Acquisition and Use,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",,,
6-8.RH.1,Reading History/Social Studies,Key Ideas and Details,Cite specific textual evidence to support analysis of primary and secondary sources.,,,
6-8.RH.10,Reading History/Social Studies,Range of Reading and Level of Text Complexity,"By the end of grade 8, read and comprehend history/social studies texts in the grades 6–8 text complexity band independently and proficiently.",,,
6-8.RH.2,Reading History/Social Studies,Key Ideas and Details,Determine the central ideas or information of a primary or secondary source; provide an accurate summary of the source distinct from prior knowledge or opinions.,,,
6-8.RH.3,Reading History/Social Studies,Key Ideas and Details,"Identify key steps in a text’s description of a process related to history/social studies (e.g., how a bill becomes law, how interest rates are raised or lowered).",,,
6-8.RH.4,Reading History/Social Studies,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including vocabulary specific to domains related to history/social studies.",,,
6-8.RH.5,Reading History/Social Studies,Craft and Structure,"Describe how a text presents information (e.g., sequentially, comparatively, causally).",,,
6-8.RH.6,Reading History/Social Studies,Craft and Structure,"Identify aspects of a text that reveal an author’s point of view or purpose (e.g., loaded language, inclusion or avoidance of particular facts).",,,
6-8.RH.7,Reading History/Social Studies,Integration of Knowledge and Ideas,"Integrate visual information (e.g., in charts, graphs, photographs, videos, or maps) with other information in print and digital texts.",,,
6-8.RH.8,Reading History/Social Studies,Integration of Knowledge and Ideas,"Distinguish among fact, opinion, and reasoned judgment in a text.",,,
6-8.RH.9,Reading History/Social Studies,Integration of Knowledge and Ideas,Analyze the relationship between a primary and secondary source on the same topic.,,,
6-8.RST.1,Reading Science/Technical,Key Ideas and Details,Cite specific textual evidence to support analysis of science and technical texts.,,,
6-8.RST.10,Reading Science/Technical,Range of Reading and Level of Text Complexity,"By the end of grade 8, read and comprehend science/technical texts in the grades 6–8 text complexity band independently and proficiently.",,,
6-8.RST.2,Reading Science/Technical,Key Ideas and Details,Determine the central ideas or conclusions of a text; provide an accurate summary of the text distinct from prior knowledge or opinions.,,,
6-8.RST.3,Reading Science/Technical,Key Ideas and Details,"Follow precisely a multistep procedure when carrying out experiments, taking measurements, or performing technical tasks.",,,
6-8.RST.4,Reading Science/Technical,Craft and Structure,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 6–8 texts and topics.",,,
